product_id,order_date,quantity,country,supplier
HDPE Granule,8/30/2024,40,South Africa,"Rolfson, Runte and Fritsch"
HDPE Granule,8/10/2025,72,Portugal,Fadel-Rice
PET Flake,8/6/2024,8,Russia,Gulgowski-Parisian
PET Flake,4/15/2024,31,China,Smitham-Hirthe
PET Flake,3/13/2025,26,Belgium,Wehner Group
LDPE Granule,4/7/2025,5,Indonesia,"Farrell, Feil and Satterfield"
LDPE Granule,12/10/2024,68,Russia,Medhurst LLC
PET Flake,6/12/2024,56,China,Ruecker Group
PET Flake,11/24/2024,42,Haiti,Hilll Group
LDPE Granule,1/19/2024,73,Philippines,Prohaska Group
PET Flake,7/19/2024,43,Honduras,"Hermann, Kling and Kohler"
HDPE Granule,2/8/2024,12,China,"Predovic, Moen and Stark"
LDPE Granule,10/12/2025,6,Japan,Koelpin-Hagenes
PET Flake,7/25/2024,53,Pakistan,"Mills, Bechtelar and Renner"
HDPE Granule,9/19/2025,69,Myanmar,Armstrong-Larson
PET Flake,6/30/2024,97,China,Koepp-Miller
PET Flake,1/17/2025,9,Poland,Mohr Inc
HDPE Granule,9/20/2024,14,Sweden,"Kertzmann, Schmidt and Wyman"
PET Flake,7/19/2025,53,Macedonia,"Hilll, Renner and Jacobi"
LDPE Granule,3/12/2024,71,Indonesia,Harber-Sawayn
HDPE Granule,7/8/2025,55,Albania,"Pfannerstill, Lind and Hoppe"
LDPE Granule,5/13/2025,92,Thailand,Anderson Group
PET Flake,8/4/2025,24,Indonesia,"Kuvalis, Waelchi and Lebsack"
PET Flake,8/7/2025,39,China,Raynor and Sons
PET Flake,8/5/2024,22,Russia,"Bechtelar, Bartell and Windler"
PET Flake,3/12/2025,5,China,Lemke and Sons
HDPE Granule,5/4/2025,58,Poland,Watsica-Rau
LDPE Granule,1/17/2025,15,Panama,Morar Group
LDPE Granule,3/28/2025,48,China,"Hamill, Lynch and Renner"
HDPE Granule,7/13/2025,32,Indonesia,Schuster-Metz
HDPE Granule,11/17/2024,16,Syria,Wyman-Bernier
LDPE Granule,8/13/2024,62,Brazil,Bechtelar-Boyle
LDPE Granule,8/31/2025,80,Brazil,"Borer, Little and Roob"
LDPE Granule,8/21/2024,81,Peru,Dooley-Osinski
HDPE Granule,1/17/2025,74,South Africa,Zemlak Group
HDPE Granule,3/21/2024,28,Portugal,Volkman Group
HDPE Granule,4/26/2024,85,Mexico,Ondricka-Bechtelar
HDPE Granule,3/11/2025,72,Thailand,Bogan LLC
HDPE Granule,8/30/2025,57,France,"Hauck, Carter and Dare"
HDPE Granule,6/28/2024,61,Spain,Veum-Kiehn
HDPE Granule,8/21/2024,38,Peru,"Mills, Green and Cummerata"
HDPE Granule,2/28/2024,62,Thailand,Waters-Cruickshank
HDPE Granule,7/2/2025,81,Ethiopia,Klein Inc
HDPE Granule,10/3/2025,63,Costa Rica,Bayer-Hessel
PET Flake,7/23/2025,50,Azerbaijan,"Christiansen, Barrows and Lueilwitz"
LDPE Granule,1/11/2025,72,China,Greenholt Group
LDPE Granule,9/16/2024,85,Czech Republic,Pacocha-Kulas
PET Flake,11/3/2024,71,China,Berge-Schulist
LDPE Granule,7/28/2025,14,Uruguay,Pagac-Greenholt
HDPE Granule,9/12/2025,69,Canada,Welch-Schaefer
PET Flake,8/8/2025,63,Philippines,Emard-Donnelly
HDPE Granule,1/11/2025,42,Indonesia,Abbott-Miller
HDPE Granule,1/15/2024,96,Russia,"Welch, Haag and Stiedemann"
LDPE Granule,10/2/2024,95,Philippines,O'Conner Inc
HDPE Granule,3/12/2024,47,China,Bednar-Torphy
PET Flake,8/17/2025,30,Estonia,Goodwin-Becker
LDPE Granule,6/5/2025,74,Portugal,Carroll Group
PET Flake,10/22/2024,90,Tunisia,"Fadel, Grady and Bernier"
PET Flake,1/2/2024,47,Russia,McCullough-Brown
LDPE Granule,11/20/2024,51,Indonesia,Bartoletti-Aufderhar
PET Flake,3/19/2024,13,Russia,Tromp-Oberbrunner
PET Flake,10/30/2024,71,China,Braun-Hayes
PET Flake,10/18/2024,96,Philippines,Feil Inc
HDPE Granule,2/5/2025,15,Denmark,Frami and Sons
HDPE Granule,4/17/2024,8,China,Abshire-Lubowitz
HDPE Granule,7/8/2024,6,China,Connelly-Koss
PET Flake,3/17/2024,83,Malaysia,Ledner LLC
HDPE Granule,12/15/2024,80,Philippines,Prohaska Group
PET Flake,8/20/2025,70,Brazil,Larson-Metz
HDPE Granule,12/29/2024,41,France,Yundt-Jenkins
PET Flake,10/24/2025,39,Indonesia,Considine Inc
HDPE Granule,6/7/2024,73,Czech Republic,Gusikowski-Weimann
HDPE Granule,3/22/2025,15,Greece,Bins LLC
LDPE Granule,11/10/2025,38,Mauritius,"Berge, Hahn and Reichert"
LDPE Granule,10/9/2025,29,Portugal,Conn Inc
HDPE Granule,10/28/2025,62,China,Collier-Fadel
PET Flake,2/7/2025,98,China,Swift-Wilderman
LDPE Granule,1/10/2024,52,Pakistan,"Pagac, Mohr and O'Kon"
LDPE Granule,6/15/2025,86,Panama,"Crist, Fisher and McLaughlin"
HDPE Granule,6/22/2024,65,China,Sipes and Sons
PET Flake,6/28/2025,70,China,Cremin-Harber
HDPE Granule,4/3/2025,3,Indonesia,Herman-Krajcik
HDPE Granule,11/18/2025,89,Ukraine,Rolfson-Runolfsdottir
PET Flake,2/26/2024,52,Indonesia,Senger-Bechtelar
LDPE Granule,5/9/2025,93,Canada,"Stoltenberg, Kiehn and Pouros"
PET Flake,4/19/2024,84,Brazil,Hane Inc
LDPE Granule,1/10/2024,43,China,"Anderson, Mueller and Fay"
LDPE Granule,12/15/2024,34,China,"Carter, Bednar and Sanford"
LDPE Granule,2/9/2025,5,Philippines,"Huel, Collins and Stokes"
LDPE Granule,1/13/2025,59,Portugal,"Morar, Tromp and Skiles"
LDPE Granule,10/12/2024,8,China,"Ritchie, Leffler and Jerde"
LDPE Granule,12/3/2025,33,China,"Bogisich, Hermiston and Lueilwitz"
PET Flake,10/31/2024,43,Sweden,"Lynch, Rau and Crona"
LDPE Granule,3/30/2024,98,Indonesia,Champlin LLC
LDPE Granule,3/1/2024,87,Latvia,"Fadel, McDermott and Gibson"
LDPE Granule,5/14/2025,82,China,Rowe Group
PET Flake,10/21/2025,62,Russia,"Reilly, Hartmann and Schneider"
LDPE Granule,2/8/2024,60,France,Abernathy-MacGyver
LDPE Granule,1/30/2025,36,Russia,Wolf-Waelchi
HDPE Granule,6/29/2025,36,Poland,"Crist, Johnson and Mohr"
PET Flake,5/15/2025,6,Indonesia,Schuster-Kuhlman
PET Flake,11/11/2025,25,Equatorial Guinea,"Okuneva, Graham and Vandervort"
LDPE Granule,3/20/2024,83,Zambia,"Hauck, Pollich and Dibbert"
LDPE Granule,5/6/2024,53,France,O'Connell-Jacobi
PET Flake,9/6/2024,61,Portugal,"Haag, Cremin and Runte"
PET Flake,7/6/2025,36,Brazil,Stanton Inc
PET Flake,6/23/2025,87,China,Stroman Group
HDPE Granule,1/26/2025,48,Thailand,"Boyle, Wintheiser and Hickle"
PET Flake,9/9/2024,82,China,Lesch-Kuhn
PET Flake,1/14/2024,37,Kazakhstan,Kautzer-Gleichner
HDPE Granule,8/9/2024,3,Czech Republic,Halvorson and Sons
PET Flake,10/7/2024,69,Portugal,"Cronin, Lehner and Jones"
PET Flake,6/14/2025,6,Portugal,Mertz-Lowe
HDPE Granule,11/17/2024,51,Philippines,Bradtke-Paucek
HDPE Granule,2/23/2025,26,China,Berge Inc
PET Flake,12/17/2025,60,Morocco,Kiehn and Sons
HDPE Granule,4/22/2024,73,China,"Hermann, Boehm and Brekke"
LDPE Granule,6/27/2024,33,China,Prohaska Inc
LDPE Granule,5/20/2025,4,Uzbekistan,Ward LLC
PET Flake,3/12/2025,49,China,"Becker, Hodkiewicz and Block"
LDPE Granule,3/27/2024,93,United States,"Will, Miller and Kreiger"
PET Flake,2/21/2024,14,China,"Schmidt, Brakus and Greenfelder"
HDPE Granule,12/11/2024,9,Brazil,"Buckridge, Russel and Kuphal"
PET Flake,2/14/2025,40,Peru,"Dach, Ferry and Erdman"
LDPE Granule,3/8/2024,29,China,Hayes-Rowe
LDPE Granule,6/11/2024,87,Indonesia,Gutkowski Group
HDPE Granule,5/26/2024,37,Malaysia,Turner and Sons
LDPE Granule,12/30/2024,46,Japan,Stark and Sons
PET Flake,3/7/2025,1,China,Schneider-Berge
PET Flake,7/2/2024,75,Malaysia,"Kris, D'Amore and Gleason"
PET Flake,2/13/2024,86,Indonesia,Trantow Group
PET Flake,1/10/2025,67,Ireland,"Kub, Cronin and Kutch"
PET Flake,12/18/2025,19,Indonesia,"Schneider, Marks and Hayes"
HDPE Granule,2/8/2024,5,Bulgaria,"Roob, Wilderman and Cummings"
PET Flake,4/15/2025,1,Indonesia,"Cole, Rolfson and Lockman"
PET Flake,11/3/2025,78,China,Veum-Labadie
LDPE Granule,8/31/2024,15,Indonesia,"Green, Frami and Runolfsdottir"
LDPE Granule,4/6/2025,5,Honduras,Abernathy-Gutkowski
HDPE Granule,3/12/2024,48,Poland,"Ankunding, Rice and Koepp"
HDPE Granule,7/30/2025,48,China,"Bartoletti, Walter and Rolfson"
HDPE Granule,7/11/2024,32,China,McKenzie Inc
PET Flake,9/7/2025,15,China,"Kub, Jenkins and Volkman"
HDPE Granule,5/4/2024,32,Philippines,Goyette-Morar
HDPE Granule,2/17/2024,13,France,"Frami, Kiehn and Borer"
LDPE Granule,1/5/2025,70,Portugal,Zboncak-Walsh
PET Flake,3/29/2025,38,Greece,Nicolas-Emard
LDPE Granule,5/2/2024,48,Tunisia,Bode-Walter
HDPE Granule,11/6/2024,30,Malaysia,"Hermiston, Walsh and Ryan"
HDPE Granule,6/16/2024,9,China,"McCullough, Conn and Nikolaus"
LDPE Granule,2/3/2025,47,Portugal,"O'Kon, Paucek and Langosh"
PET Flake,7/16/2025,61,Indonesia,Gerhold-Kiehn
LDPE Granule,1/10/2024,69,Poland,"Rath, O'Connell and Rippin"
LDPE Granule,4/5/2024,73,Indonesia,Cummerata-Kulas
LDPE Granule,2/14/2024,60,Brazil,"Quigley, Homenick and Medhurst"
PET Flake,4/6/2025,88,France,Balistreri LLC
PET Flake,4/9/2024,77,Indonesia,Koch-Bashirian
LDPE Granule,6/30/2025,7,Hungary,"Buckridge, Rempel and Jakubowski"
LDPE Granule,4/22/2025,5,Nigeria,Friesen Group
HDPE Granule,2/27/2024,33,Philippines,Oberbrunner-Stoltenberg
HDPE Granule,4/2/2025,87,Philippines,Lynch-Mitchell
LDPE Granule,5/1/2024,81,China,Schiller-Tremblay
LDPE Granule,9/27/2024,71,China,Schroeder-Mohr
HDPE Granule,1/8/2024,90,Brazil,Bauch-Osinski
HDPE Granule,8/9/2024,37,Lithuania,Volkman Group
LDPE Granule,5/1/2024,77,Ukraine,"Hoeger, Fahey and Smith"
HDPE Granule,1/10/2024,68,Russia,"Stiedemann, Aufderhar and Haley"
LDPE Granule,5/9/2024,93,China,"Davis, Mitchell and Terry"
PET Flake,5/30/2025,84,China,Yundt-Bogan
LDPE Granule,3/10/2025,82,Japan,Stamm and Sons
HDPE Granule,2/4/2024,37,Sri Lanka,"Schiller, Hintz and Schmeler"
LDPE Granule,9/16/2024,97,Thailand,Daniel-Bayer
PET Flake,7/1/2025,78,China,Beatty-Frami
PET Flake,8/16/2024,5,Sweden,Gutmann Group
LDPE Granule,1/9/2025,76,Tunisia,"Marvin, Reichert and Grimes"
HDPE Granule,5/19/2024,75,Ukraine,"Durgan, Little and Emard"
HDPE Granule,12/14/2025,9,Ethiopia,Hahn Inc
PET Flake,4/23/2025,82,Brazil,Will-Beier
HDPE Granule,11/14/2025,49,France,"Jacobs, Auer and Kessler"
LDPE Granule,9/22/2024,64,Philippines,Ward and Sons
HDPE Granule,10/11/2024,57,Peru,"Lang, Ward and Fritsch"
PET Flake,5/30/2024,53,China,Ratke and Sons
LDPE Granule,10/6/2025,7,Azerbaijan,Johns LLC
HDPE Granule,7/28/2024,18,China,Gottlieb Group
PET Flake,7/29/2025,28,Brazil,Nicolas-Price
LDPE Granule,2/24/2024,55,Poland,MacGyver LLC
PET Flake,7/2/2025,96,Thailand,Brekke Inc
PET Flake,3/10/2024,10,China,Roob-Rolfson
PET Flake,1/3/2025,4,France,Weimann Group
LDPE Granule,2/24/2025,63,Sweden,Schaden and Sons
HDPE Granule,9/3/2024,13,France,Cremin Group
PET Flake,3/24/2024,13,Bulgaria,Parker and Sons
HDPE Granule,4/19/2025,31,Jamaica,Stamm-Rempel
HDPE Granule,9/15/2024,84,Indonesia,Dicki and Sons
PET Flake,7/31/2025,73,Ecuador,Berge-Cormier
HDPE Granule,2/16/2025,96,Indonesia,Hoeger LLC
HDPE Granule,7/13/2025,100,Saint Kitts and Nevis,McDermott-Maggio
LDPE Granule,3/10/2025,96,Panama,Schaefer Group
HDPE Granule,5/20/2024,82,France,Kovacek-Willms
LDPE Granule,6/2/2024,26,Kazakhstan,Rau Inc
HDPE Granule,6/1/2025,40,Brazil,Stanton and Sons
PET Flake,7/26/2024,70,Poland,Durgan-Abbott
LDPE Granule,12/29/2024,18,China,Bartell-Lehner
LDPE Granule,7/6/2024,42,Croatia,Buckridge LLC
PET Flake,4/2/2024,25,China,Reilly Group
HDPE Granule,4/5/2024,10,Sweden,"Crona, Emard and Rosenbaum"
HDPE Granule,9/18/2025,81,Sweden,Quigley and Sons
LDPE Granule,8/2/2024,65,Poland,Howell-Will
HDPE Granule,7/26/2024,10,Macedonia,Carter Inc
HDPE Granule,4/28/2024,64,Indonesia,"Bergstrom, Schimmel and Cormier"
HDPE Granule,12/6/2025,15,Guam,Conn-Hirthe
HDPE Granule,2/26/2024,29,Philippines,Hermiston LLC
HDPE Granule,3/23/2024,23,Morocco,"Marvin, Thiel and Cole"
PET Flake,10/5/2024,69,New Zealand,Huel-Davis
HDPE Granule,7/1/2024,84,Indonesia,Fisher Group
HDPE Granule,12/1/2024,85,Russia,Steuber-Heller
HDPE Granule,1/13/2025,24,China,"Nikolaus, Goldner and Kassulke"
LDPE Granule,11/3/2025,52,United States,Johns Inc
HDPE Granule,2/15/2025,30,Portugal,Buckridge and Sons
HDPE Granule,3/26/2024,13,Indonesia,Gutmann Group
PET Flake,4/4/2024,39,Philippines,Bartoletti-Nader
HDPE Granule,7/11/2025,40,Montenegro,Spencer Group
PET Flake,7/3/2024,33,United States,Morissette-Sanford
HDPE Granule,3/24/2024,34,Finland,Greenfelder LLC
LDPE Granule,9/14/2024,42,Sweden,Schultz-O'Reilly
LDPE Granule,2/18/2024,38,Cameroon,Kihn LLC
HDPE Granule,4/10/2024,32,China,"Nitzsche, Steuber and Keebler"
LDPE Granule,4/1/2025,21,Russia,"Price, Koelpin and Rempel"
PET Flake,6/11/2025,95,Nicaragua,"Cormier, Schulist and Hoppe"
LDPE Granule,3/21/2024,56,Russia,Mraz-Schmeler
HDPE Granule,10/18/2024,22,China,"Frami, Hammes and Ziemann"
HDPE Granule,3/9/2024,88,Portugal,Balistreri-Borer
PET Flake,4/11/2024,29,Indonesia,Hand-Simonis
LDPE Granule,11/10/2025,65,China,Swaniawski-Fay
HDPE Granule,6/21/2025,96,Japan,Morissette-Armstrong
LDPE Granule,6/14/2024,92,Brazil,McKenzie and Sons
HDPE Granule,3/4/2025,41,Finland,Cartwright Group
HDPE Granule,9/10/2025,87,China,"Lindgren, Ziemann and Yundt"
LDPE Granule,11/3/2024,91,Brazil,Fisher and Sons
LDPE Granule,1/20/2024,48,Iran,Carter LLC
HDPE Granule,8/25/2025,21,China,"Gusikowski, Bode and Runolfsson"
LDPE Granule,9/15/2024,87,Argentina,Daugherty-Kovacek
HDPE Granule,8/1/2025,24,Brazil,"Berge, McClure and Towne"
HDPE Granule,8/24/2024,3,Russia,"Smitham, McDermott and Trantow"
LDPE Granule,5/3/2024,67,Guam,Konopelski and Sons
HDPE Granule,7/14/2024,93,Japan,Kling-Schulist
HDPE Granule,1/22/2025,92,China,Kertzmann Group
HDPE Granule,3/10/2024,19,China,Flatley Group
HDPE Granule,11/10/2025,65,Indonesia,Schaden-Crist
LDPE Granule,10/12/2024,65,Mexico,Hermiston LLC
LDPE Granule,6/2/2024,78,Greece,"Morar, Rath and Stiedemann"
LDPE Granule,2/1/2025,52,Russia,Boehm-Jast
PET Flake,3/20/2025,91,Venezuela,"DuBuque, Swift and Smitham"
LDPE Granule,1/16/2024,97,Yemen,"Price, Cummerata and Gottlieb"
LDPE Granule,1/30/2025,43,China,Grant-Jaskolski
PET Flake,12/19/2024,66,Sweden,Reichert Inc
HDPE Granule,1/14/2024,37,Indonesia,Schumm LLC
LDPE Granule,6/18/2025,5,Poland,"Pfannerstill, Rodriguez and Thompson"
LDPE Granule,3/31/2024,89,Latvia,"Bernhard, Langworth and Kohler"
LDPE Granule,8/23/2024,51,China,Rolfson and Sons
HDPE Granule,10/15/2024,57,China,Howell Inc
PET Flake,2/24/2025,11,Ukraine,Larson-Thiel
LDPE Granule,6/1/2025,83,Democratic Republic of the Congo,Williamson LLC
LDPE Granule,11/21/2024,15,China,Lynch-Hyatt
PET Flake,10/8/2025,24,China,"Hilpert, Borer and Kerluke"
PET Flake,7/16/2025,73,China,Hansen and Sons
HDPE Granule,4/29/2025,4,Peru,McLaughlin LLC
HDPE Granule,6/9/2024,34,Indonesia,Hilll LLC
LDPE Granule,6/27/2024,6,United States,Jakubowski-Okuneva
PET Flake,3/12/2024,79,Portugal,"Swaniawski, Batz and Schneider"
LDPE Granule,4/12/2024,91,Indonesia,"Feeney, Cole and Bauch"
HDPE Granule,7/16/2024,22,Thailand,Hilpert Group
HDPE Granule,5/1/2025,88,China,Johnston Group
PET Flake,8/17/2024,38,Kuwait,Zulauf Inc
HDPE Granule,7/31/2024,57,China,"Stehr, Turcotte and Mitchell"
LDPE Granule,2/19/2024,18,Slovenia,"Swift, Dietrich and Russel"
LDPE Granule,10/6/2024,31,Czech Republic,Stehr-McGlynn
PET Flake,5/1/2025,8,Philippines,Simonis and Sons
HDPE Granule,1/16/2025,39,Poland,"Koelpin, Davis and Bailey"
HDPE Granule,8/8/2025,8,Panama,Smitham-Witting
LDPE Granule,7/24/2024,60,Palestinian Territory,"Jakubowski, Kuhn and Watsica"
HDPE Granule,10/7/2024,26,New Zealand,"Lesch, Daniel and Ledner"
PET Flake,3/11/2025,94,Thailand,Herzog Inc
LDPE Granule,11/21/2024,37,Czech Republic,"Hartmann, Daniel and Dach"
LDPE Granule,1/2/2025,8,Indonesia,Wolf-Schiller
PET Flake,5/30/2024,57,Philippines,"Schimmel, Jacobs and Crooks"
LDPE Granule,10/14/2025,97,Poland,Kerluke-Runolfsdottir
PET Flake,12/3/2025,25,Palestinian Territory,Sawayn-Lynch
LDPE Granule,3/22/2024,73,France,"Powlowski, Carter and Wilkinson"
HDPE Granule,2/25/2024,60,Indonesia,Turcotte-Kuphal
PET Flake,1/5/2025,91,Indonesia,Kuvalis-Cronin
PET Flake,9/28/2025,88,France,Rosenbaum-Koch
PET Flake,11/20/2024,69,Japan,Prohaska Inc
LDPE Granule,3/8/2025,16,Indonesia,"Graham, Hegmann and Schimmel"
HDPE Granule,1/19/2024,24,Brazil,Muller Inc
PET Flake,10/18/2025,63,China,White-Feeney
HDPE Granule,9/21/2025,31,Nigeria,Bednar Group
PET Flake,2/2/2025,54,Portugal,Nolan-Johnston
PET Flake,7/14/2025,45,Croatia,Runolfsdottir-Bednar
PET Flake,9/18/2024,47,China,"Harvey, Homenick and Pacocha"
PET Flake,6/17/2024,62,Jordan,O'Connell-Lynch
LDPE Granule,8/14/2024,98,Argentina,"Konopelski, Christiansen and McDermott"
HDPE Granule,12/22/2024,54,Russia,"Halvorson, Ernser and Feest"
LDPE Granule,12/20/2024,90,Malaysia,"Kris, Schinner and Zieme"
HDPE Granule,4/14/2024,92,China,Rodriguez Group
HDPE Granule,9/14/2025,63,Serbia,Spinka-Kemmer
PET Flake,2/24/2025,98,Armenia,"Baumbach, Haley and Tillman"
HDPE Granule,1/1/2025,86,Brazil,Lakin-Kemmer
LDPE Granule,8/19/2025,44,China,"Prohaska, Dibbert and Runolfsson"
PET Flake,12/13/2025,18,Luxembourg,Feeney LLC
LDPE Granule,9/5/2025,80,Peru,Dach LLC
PET Flake,10/14/2024,25,Indonesia,Kerluke LLC
LDPE Granule,5/25/2024,84,Russia,Mayert-Leuschke
LDPE Granule,9/5/2024,64,Brazil,Vandervort-Mann
LDPE Granule,10/20/2025,69,Colombia,Hilll LLC
HDPE Granule,1/28/2025,11,Argentina,"Lubowitz, Schmeler and Balistreri"
PET Flake,7/15/2024,82,China,Kreiger-O'Kon
LDPE Granule,12/13/2025,70,China,"Wehner, Schumm and Nader"
LDPE Granule,2/23/2024,75,United States,"Rath, Bartoletti and Jaskolski"
PET Flake,3/1/2025,70,Nicaragua,Nienow-Adams
PET Flake,6/18/2024,47,China,Sanford-Schoen
HDPE Granule,5/26/2025,4,Russia,Moore-Cummings
PET Flake,8/16/2024,73,Guatemala,Ankunding-Abbott
HDPE Granule,2/8/2025,61,Iran,"Quigley, Hayes and Sipes"
HDPE Granule,3/11/2024,7,Angola,"Brakus, Dare and Streich"
PET Flake,4/29/2025,68,Sweden,Beier and Sons
PET Flake,10/15/2025,15,Albania,Schowalter Group
PET Flake,11/10/2024,46,Greece,Larkin-Lindgren
PET Flake,8/2/2024,16,Russia,"Steuber, Bahringer and Bednar"
PET Flake,5/28/2025,44,Poland,Graham LLC
HDPE Granule,1/23/2025,13,Jersey,Moore LLC
HDPE Granule,4/8/2025,58,Sweden,Reynolds Inc
PET Flake,12/7/2024,35,Mali,"Witting, Wuckert and Nolan"
LDPE Granule,12/17/2024,73,China,Quitzon-Dibbert
HDPE Granule,1/7/2025,36,Yemen,Ebert-Johns
LDPE Granule,5/9/2024,99,Indonesia,"Welch, Kihn and Ankunding"
LDPE Granule,2/15/2024,9,Philippines,"Brekke, Leannon and Herzog"
HDPE Granule,12/5/2025,82,Uganda,Rowe LLC
PET Flake,8/17/2024,58,China,Pollich Group
LDPE Granule,8/12/2025,93,China,"Barton, Ward and McDermott"
PET Flake,9/6/2025,19,Russia,Gerlach-Skiles
LDPE Granule,6/6/2025,37,China,"Daugherty, McKenzie and Johnson"
HDPE Granule,9/21/2025,21,South Africa,Bartell Inc
PET Flake,11/17/2024,73,Macedonia,Roob Group
PET Flake,3/17/2025,93,Poland,Wolff Inc
LDPE Granule,6/27/2025,28,Indonesia,Strosin Group
HDPE Granule,5/26/2024,34,China,"Runte, Krajcik and Monahan"
PET Flake,2/22/2025,4,Indonesia,"Raynor, Wolf and McGlynn"
PET Flake,4/14/2024,95,Philippines,Klocko-Mueller
LDPE Granule,7/13/2025,62,France,Huels Group
LDPE Granule,2/18/2024,72,China,Kozey-Brakus
HDPE Granule,3/21/2024,24,Russia,Denesik and Sons
PET Flake,8/28/2024,72,Indonesia,"Ryan, Flatley and Okuneva"
LDPE Granule,2/10/2025,24,Philippines,"Jast, Aufderhar and Predovic"
LDPE Granule,7/6/2025,32,China,"Rowe, Feil and Glover"
PET Flake,3/14/2025,73,Japan,Langosh and Sons
HDPE Granule,11/27/2025,29,Philippines,"Reilly, McLaughlin and Fisher"
PET Flake,1/28/2025,94,Portugal,Reilly-Ullrich
PET Flake,5/2/2025,31,Sweden,"Hilpert, Baumbach and Nicolas"
HDPE Granule,9/28/2025,95,Portugal,"Larkin, Orn and Rippin"
PET Flake,4/14/2025,98,Germany,Lindgren Inc
PET Flake,11/24/2025,58,Indonesia,Fadel LLC
HDPE Granule,11/2/2025,89,Russia,Murray-Bergnaum
HDPE Granule,6/2/2024,71,Democratic Republic of the Congo,Davis-Howell
HDPE Granule,10/6/2024,87,Brazil,Hyatt and Sons
HDPE Granule,3/22/2025,25,Indonesia,O'Kon-Haley
HDPE Granule,7/13/2024,68,Japan,Mann and Sons
PET Flake,12/15/2024,97,China,Moen-Rath
PET Flake,1/22/2025,76,Czech Republic,Anderson Inc
HDPE Granule,6/28/2025,50,China,Batz-Nolan
PET Flake,2/21/2024,70,Russia,Corwin-Larkin
HDPE Granule,7/19/2025,99,Colombia,Bogisich and Sons
HDPE Granule,3/9/2025,90,Mexico,Bartell Group
LDPE Granule,9/26/2024,24,China,Prosacco and Sons
PET Flake,5/2/2024,27,Venezuela,"Reinger, Beier and Cartwright"
PET Flake,11/24/2024,79,Honduras,Ernser-Abbott
PET Flake,7/5/2024,91,Swaziland,White and Sons
LDPE Granule,9/21/2025,34,China,"Brown, Schinner and Mills"
HDPE Granule,2/1/2025,47,China,"Lynch, Reinger and Schinner"
PET Flake,12/10/2025,76,United States,O'Kon Inc
HDPE Granule,9/22/2024,32,Russia,Kertzmann-Jenkins
LDPE Granule,3/2/2025,64,Philippines,Stiedemann-Predovic
HDPE Granule,1/7/2024,6,Poland,"Hudson, Rath and Kuphal"
PET Flake,10/5/2025,50,China,Cole and Sons
LDPE Granule,12/9/2025,95,Vietnam,"Bogan, Beier and Stanton"
LDPE Granule,10/10/2024,60,Philippines,Bartell-O'Conner
LDPE Granule,10/21/2024,48,Sierra Leone,Parisian Group
LDPE Granule,6/2/2025,80,China,"Beatty, Brekke and Trantow"
PET Flake,9/21/2025,71,France,Kemmer Group
LDPE Granule,2/26/2024,15,Ireland,Davis Inc
PET Flake,11/12/2025,40,Greece,Stoltenberg-Schamberger
LDPE Granule,5/22/2025,5,Indonesia,Turcotte and Sons
LDPE Granule,1/27/2025,78,Poland,"Fritsch, Jacobson and Sauer"
LDPE Granule,12/11/2024,1,China,MacGyver-Streich
LDPE Granule,12/21/2025,32,Ukraine,Rohan LLC
HDPE Granule,4/28/2024,6,China,"Boyle, Gorczany and Zemlak"
